locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
460052,IN,35,Gwalior,474005,26.2236,78.1792,"",""
460053,IN,35,Gwalior,474003,26.2236,78.1792,"",""
460054,IN,35,Gwalior,474001,26.2236,78.1792,"",""
460055,IN,31,Aizawl,796001,23.7244,92.7175,"",""
460056,IN,23,Pathankot,145001,32.2833,75.6500,"",""
460057,IN,25,Madurai,625001,9.9333,78.1167,"",""
460058,ID,07,Klaten,57483,-7.7058,110.6064,"",""
460059,ID,10,Yogyakarta,55143,-7.7828,110.3608,"",""
460060,IN,37,Ambikapur,497001,23.1167,83.2000,"",""
460061,IN,19,Bijapur,586103,16.8333,75.7000,"",""
460062,IN,16,Nanded,431605,19.1500,77.3333,"",""
460063,IN,16,Parbhani,431506,19.2667,76.7833,"",""
460064,IN,16,Amravati,444603,20.9333,77.7500,"",""
460065,IN,16,Jalna,431203,19.8333,75.8833,"",""
460066,IN,16,Yavatmal,445001,20.4000,78.1333,"",""
460067,IN,16,Nanded,431602,19.1500,77.3333,"",""
460068,IN,16,Latur,413512,18.4000,76.5833,"",""
460069,IN,16,Sangli,416416,16.8667,74.5667,"",""
460070,IN,16,Solapur,413001,17.6833,75.9167,"",""
460071,IN,21,Koraput,763008,18.8167,82.7167,"",""
460072,IN,36,Azamgarh,276001,26.0600,83.1861,"",""
460073,IN,36,Gorakhpur,273001,26.7550,83.3739,"",""
460074,IN,29,Gangtok,737101,27.3333,88.6167,"",""
460075,IN,36,Bhadohi,221401,25.4167,82.5667,"",""
460076,IN,36,Varanasi,221001,25.3333,83.0000,"",""
460077,IN,35,Vidisha,464001,23.5333,77.8167,"",""
460078,IN,35,Bhopal,462008,23.2667,77.4000,"",""
460079,IN,13,Cochin,682037,9.9667,76.2333,"",""
460080,IN,25,Chennai,600117,13.0833,80.2833,"",""
460081,IN,23,Patiala,147001,30.3267,76.4003,"",""
460082,IN,23,Rajpura,140401,30.4831,76.5950,"",""
460083,IN,02,Kurnool,518002,15.8333,78.0500,"",""
460084,IN,25,Tirupur,641603,11.1000,77.3500,"",""
460085,IN,23,Garhshankar,144527,31.2167,76.1333,"",""
460086,IN,23,Jalandhar,144001,31.3256,75.5792,"",""
460087,IN,23,Jalandhar,144405,31.3256,75.5792,"",""
460088,IN,23,Jalandhar,144004,31.3256,75.5792,"",""
460089,IN,03,Tezpur,784001,26.6333,92.8000,"",""
460090,IN,33,Itanagar,791111,27.1000,93.6167,"",""
460091,IN,16,Jalgaon,425001,21.0486,76.5344,"",""
460092,IN,02,Rajahmundry,533101,16.9833,81.7833,"",""
460093,IN,02,Gudur,524101,17.4833,78.8167,"",""
460094,IN,02,Warangal,506002,18.0000,79.5833,"",""
460095,IN,13,Palakkad,678555,10.7725,76.6514,"",""
460096,IN,35,Chhatarpur,471001,24.9000,79.6000,"",""
460097,IN,35,Sagar,470002,23.8333,78.7167,"",""
460098,IN,35,Satna,485001,24.5833,80.8333,"",""
460099,IN,35,Rewa,486001,24.5333,81.3000,"",""
460100,IN,09,Visnagar,384315,23.7000,72.5500,"",""
460101,IN,09,Patan,384265,23.8333,72.1167,"",""
460102,IN,09,Mehsana,384001,23.6000,72.4000,"",""
460103,IN,24,Alwar,301001,27.5667,76.6000,"",""
460104,IN,24,Kota,324005,25.1833,75.8333,"",""
460105,IN,24,Ajmer,305001,26.4500,74.6333,"",""
460106,IN,23,Muktsar,152026,30.4833,74.5167,"",""
460107,IN,23,Ferozepur,152002,30.9167,74.6000,"",""
460108,IN,23,Sunam,148028,30.1333,75.8000,"",""
460109,IN,23,Barnala,148101,30.3833,75.5500,"",""
460110,IN,36,Jhansi,284001,25.4333,78.5833,"",""
460111,IN,36,Jhansi,284003,25.4333,78.5833,"",""
460112,IN,38,Bokaro,827004,23.7833,85.9667,"",""
460113,IN,28,Midnapore,721101,22.4333,87.3333,"",""
460114,IN,25,Tenkasi,627811,8.9667,77.3000,"",""
460115,IN,25,Ramanathapuram,623501,9.3833,78.8333,"",""
460116,IN,25,Sivaganga,630561,9.8667,78.4833,"",""
460117,IN,24,Ganganagar,335001,29.9167,73.8833,"",""
460118,IN,24,Jodhpur,342008,26.2867,73.0300,"",""
460119,IN,24,Jodhpur,342004,26.2867,73.0300,"",""
