locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
384580,FR,A3,�tampes,91150,48.4330,2.1758,"",""
384581,FR,A8,Corbeil-essonnes,91100,48.6060,2.4876,"",""
384582,FR,A8,Asni�res,92600,48.9167,2.2833,"",""
384583,FR,A8,Clichy,92110,48.9002,2.3095,"",""
384584,FR,A8,Nanterre,92000,48.8920,2.2067,"",""
384585,FR,A8,Rueil-malmaison,92500,48.8765,2.1897,"",""
384586,FR,A3,Le Blanc,93150,46.6327,1.0628,"",""
384587,FR,A8,Noisy-le-grand,93160,48.8498,2.5627,"",""
384588,FR,A8,Champigny-sur-marne,94500,48.8164,2.4937,"",""
384589,FR,A8,Villejuif,94800,48.7939,2.3599,"",""
384590,FR,A8,Garges-l�s-gonesse,95140,48.9679,2.3978,"",""
384591,FR,A8,Gonesse,95500,48.9745,2.4315,"",""
384592,FR,A2,Rennes,35000,48.1120,-1.6743,"",""
384593,FR,B8,Nice,06100,43.7031,7.2661,"",""
384594,FR,97,Talence,33400,44.8048,-0.5954,"",""
384595,FR,B9,Villeurbanne,69100,45.7667,4.8833,"",""
384596,FR,B9,Annemasse,74100,46.1952,6.2243,"",""
384597,FR,B5,Rez�,44400,47.1814,-1.5497,"",""
384598,FR,A8,Versailles,78000,48.8000,2.1333,"",""
384599,FR,A2,Vannes,56000,47.6667,-2.7500,"",""
384600,FR,B8,Plan-de-cuques,13380,43.3475,5.4640,"",""
384601,FR,B6,Amiens,80000,49.9000,2.3000,"",""
384602,FR,A8,Meaux,77100,48.9265,2.8613,"",""
384603,FR,A7,Le Havre,76620,49.4938,0.1077,"",""
384604,FR,B9,Saint-chamond,42400,45.4736,4.5254,"",""
384605,FR,97,M�rignac,33700,44.8325,-0.6338,"",""
384606,FR,A8,�vry,91000,48.6333,2.4500,"",""
384607,FR,A3,Montargis,45200,47.9728,2.7719,"",""
384608,FR,B8,Saint-laurent-du-var,06700,43.6710,7.1761,"",""
384609,FR,A8,Courbevoie,92400,48.8967,2.2567,"",""
384610,FR,C1,Cernay,68700,47.8087,7.1751,"",""
384611,FR,A2,Vitr�,35500,48.1178,-1.2058,"",""
384612,FR,A3,Ch�teauroux,36000,46.8167,1.7000,"",""
384613,FR,B8,Draguignan,83300,43.6019,6.4483,"",""
384614,FR,A8,Saint-germain-en-laye,78100,48.9000,2.0833,"",""
384615,FR,B9,Vienne,38200,45.5248,4.8735,"",""
384616,FR,A9,Carcassonne,11000,43.2126,2.4108,"",""
384617,FR,A4,Troyes,10000,48.3000,4.0833,"",""
384618,FR,A1,Beaune,21200,47.0244,4.8389,"",""
384619,FR,A8,Serris,77700,48.8473,2.8235,"",""
384620,FR,A9,Narbonne,11100,43.1227,2.9908,"",""
384621,FR,B2,Lun�ville,54300,48.6382,6.5105,"",""
384622,FR,A8,Roissy-en-brie,77680,48.7916,2.6475,"",""
384623,FR,C1,Haguenau,67500,48.7833,7.7068,"",""
384624,FR,A8,Sucy-en-brie,94370,48.7687,2.5347,"",""
384625,FR,B9,D�cines,69150,45.7690,4.9728,"",""
384626,FR,B9,Lyon,69003,45.7612,4.8518,"",""
384627,FR,B8,Istres,13800,43.5167,4.9833,"",""
384628,FR,B8,Vitrolles,13127,43.4600,5.2486,"",""
384629,FR,B9,Saint Priest,69800,45.8054,3.8134,"",""
384630,FR,B5,Nantes,44000,47.2173,-1.5534,"",""
384631,ES,39,Santander,39011,43.4647,-3.8044,"",""
384632,ES,58,Orense,32001,42.3313,-7.8627,"",""
384633,ES,55,Valladolid,47012,41.6552,-4.7237,"",""
384634,ES,34,Oviedo,33006,43.3500,-5.8333,"",""
384635,HU,14,Mohora,"",47.9923,19.3357,"",""
384636,RU,08,Abdullino,"",54.1764,56.0953,"",""
384637,FR,99,Notre Dame,02350,48.7434,-1.2054,"",""
384638,ES,51,Umbrete,41806,37.3688,-6.1585,"",""
384639,RU,47,Bolychevo,"",55.7609,35.7191,"",""
384640,BE,10,Tubize,"",50.6833,4.2000,"",""
384641,BE,10,Braine-le-ch�teau,"",50.6833,4.2667,"",""
384642,BE,12,Sint-pieters-leeuw,"",50.7833,4.2333,"",""
384643,BE,12,Langdorp,"",51.0000,4.8667,"",""
384644,BE,10,Thorembais-saint-trond,"",50.6333,4.7833,"",""
384645,BE,10,Grez-doiceau,"",50.7333,4.7000,"",""
384646,IQ,10,Khalis,"",33.8183,44.5244,"",""
384647,PT,02,Anta,"",41.0078,-8.6236,"",""
384648,AZ,09,Sabun�u,"",40.4425,49.9481,"",""
384649,BE,12,Kortenaken,"",50.9167,5.0667,"",""
384650,BE,12,Kraainem,"",50.8667,4.4667,"",""
384651,BE,12,Hever,"",51.0000,4.5500,"",""
384652,BE,10,Waterloo,"",50.7167,4.3833,"",""
384653,BE,10,Lillois-witterz�e,"",50.6500,4.3667,"",""
384654,BE,12,Machelen,"",50.9167,4.4333,"",""
384655,BE,10,C�roux-mousty,"",50.6667,4.5167,"",""
384656,BE,12,Perk,"",50.9333,4.5000,"",""
384657,BE,12,Schaffen,"",51.0000,5.0833,"",""
384658,BE,11,Uccle,"",50.8000,4.3167,"",""
384659,BE,10,Jodoigne,"",50.7167,4.8667,"",""
384660,BE,12,Werchter,"",50.9667,4.7000,"",""
384661,BE,12,Boutersem,"",50.8500,4.8333,"",""
384662,ES,31,Mazarr�n,30870,37.5992,-1.3149,"",""
384663,ES,31,Mula,30170,38.0409,-1.4901,"",""
384664,ES,54,Tomelloso,13700,39.1522,-3.0243,"",""
384665,PK,04,Ahmedpur East,"",29.1431,71.2598,"",""
384666,DZ,09,Misserghin,"",35.6117,-0.7408,"",""
384667,ZA,06,Fietas,1873,-26.2000,28.0833,"",""
384668,ZA,06,Johannesburg,1824,-26.4167,27.8333,"",""
384669,ZA,02,Durban,4059,-29.8500,31.0167,"",""
