3464592384,3464593407,1566
3464593408,3464597503,1601
3464597504,3464599551,1542
3464599552,3464601599,1601
3464601600,3464602623,13467
3464602624,3464613887,1601
3464613888,3464615935,3539
3464615936,3464625151,1601
3464625152,3464625919,3533
3464625920,3464626175,1601
3464626176,3464626431,420621
3464626432,3464626687,373604
3464626688,3464627967,223
3464627968,3464628223,370530
3464628224,3464628479,375062
3464628480,3464628735,375064
3464628736,3464628991,223
3464628992,3464629247,371657
3464629248,3464629503,370795
3464629504,3464629759,435800
3464629760,3464630271,39
3464630272,3464631295,5809
3464631296,3464631551,371602
3464631552,3464632063,39
3464632064,3464632319,375933
3464632320,3464632575,705407
3464632576,3464632831,371647
3464632832,3464633087,659944
3464633088,3464633343,370855
3464633344,3464633599,39
3464633600,3464633855,370788
3464633856,3464635391,370966
3464635392,3464635647,39
3464635648,3464635903,371693
3464635904,3464636159,370714
3464636160,3464636415,370889
3464636416,3464636671,39
3464636672,3464636927,371653
3464636928,3464637183,370949
3464637184,3464637439,370888
3464637440,3464637695,373825
3464637696,3464637951,371637
3464637952,3464638207,371650
3464638208,3464638463,371617
3464638464,3464638719,370985
3464638720,3464638975,370730
3464638976,3464639231,370532
3464639232,3464639487,435741
3464639744,3464639999,370825
3464640000,3464640255,370790
3464640256,3464640511,370798
3464640512,3464640767,659907
3464640768,3464641023,435776
3464641024,3464641279,370533
3464641280,3464641535,370810
3464641536,3464641791,373604
3464641792,3464642047,660077
3464642048,3464642559,223
3464642560,3464642815,370762
3464642816,3464643071,223
3464643072,3464643327,371637
3464643328,3464643583,23259
3464643584,3464644607,370891
3464644608,3464644863,371640
3464644864,3464645119,375715
3464645120,3464645375,375805
3464645376,3464645631,371520
3464645632,3464645887,370952
3464645888,3464646143,23263
3464646144,3464646399,420821
3464646400,3464647679,375805
3464647680,3464647935,705414
3464647936,3464648191,223
3464648192,3464648447,375066
3464648448,3464648703,373857
3464648704,3464649215,223
3464649216,3464649471,375145
3464649472,3464649727,375128
3464649728,3464649983,371617
3464649984,3464650239,121983
3464650240,3464650495,158939
3464650496,3464650751,127966
3464650752,3464658943,121342
3464658944,3464659007,14325
3464659008,3464659071,117581
3464659072,3464659654,14325
3464659655,3464659655,117581
3464659656,3464659685,14325
3464659686,3464659686,117581
3464659687,3464659967,14325
3464659968,3464660479,117581
3464660480,3464660735,14325
3464660736,3464661503,117581
3464661504,3464661631,14325
3464661632,3464661759,117585
3464661760,3464663039,14325
3464663040,3464663295,14869
3464663296,3464663551,1771
3464663552,3464663807,133435
3464663808,3464664063,1771
3464664064,3464664319,223
3464664320,3464664575,705399
3464664576,3464664831,370764
3464664832,3464665087,370761
3464665088,3464665343,370344
3464665344,3464665599,370345
3464665600,3464665855,371544
3464665856,3464666111,371488
3464666112,3464666879,370714
3464666880,3464667135,435776
3464667136,3464670463,370855
3464670464,3464670719,375709
3464670720,3464670975,370731
3464670976,3464671231,435812
3464671232,3464671487,375146
3464671488,3464671743,705394
3464671744,3464671935,371529
3464671936,3464671951,371657
3464671952,3464671959,659907
3464671960,3464671999,371529
3464672000,3464672255,370949
3464672256,3464672511,370824
3464672512,3464672767,370517
3464672768,3464673023,370531
3464673024,3464673279,526182
3464673280,3464673535,370714
3464673536,3464673791,370529
3464673792,3464674047,370826
3464674048,3464674303,371532
3464674304,3464674559,371541
3464674560,3464674815,435794
3464674816,3464680191,123426
3464680192,3464680447,123427
3464680448,3464682239,123426
3464682240,3464682495,129249
3464682496,3464682751,371647
3464682752,3464683007,370410
3464683008,3464683263,370801
3464683264,3464683519,371617
3464683520,3464683775,370812
3464683776,3464684031,370788
3464684032,3464684287,370795
3464684288,3464684543,371488
3464684544,3464684799,390204
3464684800,3464685055,370714
3464685056,3464685567,370824
3464685568,3464685823,24827
3464685824,3464686591,659907
3464686592,3464686847,370954
3464686848,3464687103,411153
3464687104,3464687359,370761
3464687360,3464687615,370855
3464687616,3464687871,370740
3464687872,3464688127,370888
3464688128,3464688383,39
3464688384,3464688639,223
3464688640,3464689151,717555
3464689152,3464690175,371656
3464690176,3464690687,371643
3464690688,3464691199,411153
3464691200,3464691455,39
3464691456,3464691711,371488
3464691712,3464691967,8164
3464691968,3464692223,1944
3464692224,3464692735,120881
3464692736,3464693759,1949
3464693760,3464694015,13432
3464694016,3464695807,121471
3464695808,3464696831,23273
3464696832,3464697087,308204
3464697088,3464697855,793
3464697856,3464698367,23273
3464698368,3464698879,8177
3464698880,3464699391,5358
3464699392,3464699647,2015
3464699648,3464703999,308204
3464704000,3464706047,28192
3464706048,3464708095,28167
3464708096,3464710143,308204
3464710144,3464711167,2211
3464711168,3464712191,6646
3464712192,3464712703,2326
3464712704,3464713727,6646
3464713728,3464714239,2696
3464714240,3464714751,41968
3464714752,3464715007,118796
3464715008,3464716543,793
3464716544,3464716799,28192
3464716800,3464719359,115713
3464719360,3464719615,13429
3464719616,3464721407,793
3464721408,3464721919,129761
3464721920,3464722175,1944
3464722176,3464722431,308204
3464722432,3464723199,793
3464723200,3464723455,8983
